,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,score_time,score_time,score_time,score_time,score_time,score_time,score_time,score_time,score_time,test_score,test_score,test_score,test_score,test_score,test_score,test_score,test_score,test_score
estimator,Castor,DST,DrCif,Hydra,MrSeql,MultiRocket,UST,Rocket,z-time,Castor,DST,DrCif,Hydra,MrSeql,MultiRocket,UST,Rocket,z-time,Castor,DST,DrCif,Hydra,MrSeql,MultiRocket,UST,Rocket,z-time
EthanolLevel,90.19508400917053,40.91968211174011,328.50451468,87.34783883094788,1803.205134,4.283919830322266,114.07581567764282,8.500366048812866,21.75144806,22.684636335372925,10.178092575073242,393.50756434,23.42794945716858,43.39323187,0.7444105815887452,29.339606924057005,2.0303871059417724,6.114788055,0.7444,0.7312666666666667,0.818162189,0.7372049751243781,0.785855721,0.7577253731343283,0.753171144278607,0.6862487562189055,0.357597015
FaceAll,16.303851509094237,9.431464262008667,219.81495126,12.264354543685915,190.8389933,5.668852481842041,5.257096319198608,3.654280920028687,11.99998884,3.1140319156646727,1.8772657299041746,603.00252482,3.1506098747253417,3.728659678,0.4284072208404541,1.0959843158721922,0.6235575294494629,3.178397465,0.9952888888888889,0.9938666666666667,0.9833777778,0.9944888888888889,0.988444444,0.9954666666666668,0.9508444444444445,0.9948444444444446,0.818222222
FaceFour,2.1708830165863033,1.3065900707244873,12.100955058,1.9241127872467039,9.462790108,0.41837525367736816,0.8858718395233154,0.38181163787841793,1.247786331,0.7034239959716797,0.4091063976287842,29.574322298,0.6637349605560303,0.229221344,0.08698358535766598,0.3515895271301269,0.1868364143371582,0.361328554,1.0,1.0,0.9930434784,1.0,1.0,0.9826086956521738,1.0,1.0,0.813043478
FacesUCR,16.470202016830445,9.424669055938722,216.10962448,12.596241884231569,192.0194111,5.593199644088745,5.116903305053711,3.5527386856079106,12.16197829,3.0723233795166016,1.8533878993988036,603.6982261999999,3.0885121631622314,3.752414227,0.4315126514434814,1.143983678817749,0.6428798389434814,3.240114594,0.9955555555555555,0.9963555555555554,0.981511111,0.9949333333333333,0.990222222,0.9943111111111111,0.9485333333333333,0.9955555555555555,0.808444444
FiftyWords,15.843900871276855,6.704334497451782,158.79285324,10.76292326927185,325.1128002,2.1513593196868896,3.281829538345337,1.778356227874756,3.451643848,3.686600275039673,1.647522077560425,612.16867504,2.9163257312774657,3.51135931,0.2705519294738769,1.0198979473114014,0.4919615077972412,0.902566385,0.883756906077348,0.880220994475138,0.8185635359999999,0.8711602209944751,0.774585635,0.8671823204419888,0.3690607734806629,0.8722651933701657,0.436464088
Fish,16.853127403259275,4.177533597946168,44.566452612,6.96073450088501,49.07502675,1.0084697055816652,3.2068728828430175,1.0748136711120604,2.182343912,4.415696296691895,1.1343705940246582,118.55600933999999,2.025194253921509,0.858977556,0.17360715866088863,1.0554641628265382,0.36304111480712886,0.659797764,0.986857142857143,0.9857142857142858,0.9525714284,0.9925714285714287,0.965714286,0.9902857142857144,0.9742857142857144,0.9862857142857143,0.711428571
FordA,165.67408390045165,67.41841256141663,674.2708265,101.04191479682922,2915.515412,21.645280761718748,51.60655109405518,21.003920688629147,65.11712518,27.687124395370482,13.831525974273683,535.207502,23.758309593200686,45.90037646,1.323420810699463,11.304233093261718,3.0876017093658445,18.39644566,0.9486283686187115,0.938874623416285,0.9647223805999999,0.945458792455945,0.926033387,0.9544002723783583,0.8519828319095375,0.9113613552886799,0.818327143
FordB,109.30055638313294,59.40349005699157,628.18364802,91.04536103248594,2893.730647,17.522590808868408,47.11905905723572,17.867001161575317,60.84902029,22.785453491210937,12.531997451782226,580.10645836,21.638841543197636,44.25082183,1.1987215900421142,10.69776982307434,2.7947301292419433,17.19154348,0.9301873838803859,0.9133991734179295,0.9248746602000001,0.924384069968782,0.910253915,0.9356699232820617,0.8332895185854576,0.8989189722071258,0.841654175
FreezerRegularTrain,105.37785140991211,29.36138292312622,312.57786238,39.01315296173096,60.04055634,9.318203525543213,20.19045481681824,7.2877765464782716,23.26415658,13.167580461502075,6.190555982589721,58.431221336,9.384179372787475,2.023793745,0.7820295619964599,4.877169103622437,1.2619429111480713,6.20011754,0.9995333333333333,0.9996666666666666,0.999666667,0.9984,0.999333333,0.9995999999999998,0.9995333333333333,0.9992666666666666,0.980666667
FreezerSmallTrain,41.96230100631714,28.755565414428713,301.85629288,38.441587867736814,57.24516034,9.195109491348266,19.27337182998657,6.906630821228028,22.4033422,8.792569179534912,6.2446212959289555,57.811022972,10.12785556793213,1.936537838,0.7616805934906006,4.853712015151977,1.204272632598877,5.951882648,0.9995827294685992,0.9995832125603865,0.999652778,0.9984019323671497,0.999304952,0.9995832125603865,0.9997915458937199,0.9987492753623188,0.982278986
